,,,"Kingston [Population centre], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Mother tongue","        Tlingit",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Tsimshian languages",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","          Gitxsan (Gitksan)",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","          Nisga'a",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","          Tsimshian",,       0,,       0,,       0,,       0,,       5,,       0,
"Mother tongue","        Wakashan languages",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","          Haisla",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Heiltsuk",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Kwakiutl (Kwak'wala)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Nuu-chah-nulth (Nootka)",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","          Wakashan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Aboriginal languages; n.o.s.",,       0,,       0,,       0,,     235,,     130,,     105,
"Mother tongue","      Non-Aboriginal languages",,   11920,,    5550,,    6365,, 3531160,, 1679300,, 1851865,
"Mother tongue","        Afro-Asiatic languages",,     880,,     460,,     425,,  253830,,  127720,,  126110,
"Mother tongue","          Berber languages",,       5,,       5,,       5,,     725,,     405,,     320,
"Mother tongue","            Kabyle",,       5,,       0,,       0,,     425,,     225,,     200,
"Mother tongue","            Berber languages; n.i.e.",,       5,,       5,,       0,,     305,,     180,,     120,
"Mother tongue","          Cushitic languages",,      15,,       5,,      10,,   24605,,   10730,,   13870,
"Mother tongue","            Bilen",,       0,,       0,,       0,,     250,,     140,,     110,
"Mother tongue","            Oromo",,       0,,       5,,       0,,    1445,,     720,,     730,
"Mother tongue","            Somali",,      15,,      10,,      10,,   22680,,    9755,,   12925,
"Mother tongue","            Cushitic languages; n.i.e.",,       0,,       0,,       0,,     225,,     115,,     110,
"Mother tongue","          Semitic languages",,     860,,     440,,     415,,  227985,,  116320,,  111665,
"Mother tongue","            Amharic",,      10,,       5,,       5,,   10720,,    4960,,    5760,
"Mother tongue","            Arabic",,     805,,     420,,     390,,  171370,,   88400,,   82965,
"Mother tongue","            Assyrian Neo-Aramaic",,       5,,       0,,       0,,   14555,,    7135,,    7420,
"Mother tongue","            Chaldean Neo-Aramaic",,       0,,       0,,       0,,    4795,,    2365,,    2425,
"Mother tongue","            Harari",,       5,,       0,,       0,,    1030,,     485,,     545,
"Mother tongue","            Hebrew",,      20,,       5,,      10,,   11575,,    6220,,    5350,
"Mother tongue","            Maltese",,       5,,       5,,       5,,    5175,,    2575,,    2600,
"Mother tongue","            Tigrigna",,      10,,       5,,       5,,    7345,,    3470,,    3870,
"Mother tongue","            Semitic languages; n.i.e.",,       0,,       5,,       5,,    1435,,     705,,     730,
"Mother tongue","          Afro-Asiatic languages; n.i.e.",,       5,,       0,,       0,,     520,,     265,,     250,
"Mother tongue","        Austro-Asiatic languages",,     220,,     105,,     115,,   78125,,   35880,,   42240,
"Mother tongue","          Khmer (Cambodian)",,      65,,      35,,      30,,    7355,,    3330,,    4020,
"Mother tongue","          Vietnamese",,     155,,      70,,      85,,   70690,,   32520,,   38165,
"Mother tongue","          Austro-Asiatic languages; n.i.e",,       0,,       0,,       0,,      85,,      30,,      50,
"Mother tongue","        Austronesian languages",,     480,,     155,,     320,,  194380,,   76060,,  118315,
"Mother tongue","          Bikol",,       0,,       0,,       0,,     595,,     260,,     330,
"Mother tongue","          Cebuano",,      20,,      10,,      10,,    6545,,    2500,,    4045,
"Mother tongue","          Fijian",,       0,,       0,,       0,,      80,,      45,,      40,
"Mother tongue","          Hiligaynon",,       5,,       0,,       5,,    2750,,    1030,,    1725,
"Mother tongue","          Ilocano",,      40,,      10,,      30,,   11285,,    4430,,    6860,
"Mother tongue","          Malagasy",,       0,,       0,,       0,,     100,,      45,,      55,
"Mother tongue","          Malay",,      20,,       5,,      15,,    5760,,    2520,,    3240,
"Mother tongue","          Pampangan (Kapampangan; Pampango)",,      10,,       0,,       0,,    1505,,     670,,     840,
"Mother tongue","          Pangasinan",,       0,,       0,,       0,,     535,,     215,,     315,
"Mother tongue","          Tagalog (Pilipino; Filipino)",,     380,,     130,,     255,,  163415,,   63665,,   99755,
"Mother tongue","          Waray-Waray",,       0,,       0,,       0,,     405,,     140,,     270,
"Mother tongue","          Austronesian languages; n.i.e.",,       5,,       0,,       5,,    1400,,     550,,     850,
"Mother tongue","        Creole languages",,      40,,      20,,      25,,   11255,,    5095,,    6165,
"Mother tongue","          Haitian Creole",,       0,,       0,,       0,,     630,,     290,,     340,
"Mother tongue","          Creole; n.o.s.",,      40,,      15,,      20,,    8025,,    3580,,    4440,
"Mother tongue","          Creole languages; n.i.e.",,       5,,       0,,       5,,    2605,,    1225,,    1380,
"Mother tongue","        Dravidian languages",,     220,,     115,,     100,,  148605,,   73530,,   75075,
"Mother tongue","          Kannada",,      15,,      10,,       5,,    2670,,    1365,,    1305,
"Mother tongue","          Malayalam",,      80,,      35,,      40,,   17140,,    8795,,    8350,
"Mother tongue","          Tamil",,     100,,      55,,      40,,  117630,,   57310,,   60320,
"Mother tongue","          Telugu",,      25,,      15,,      10,,   10820,,    5895,,    4925,
"Mother tongue","          Dravidian languages; n.i.e.",,       5,,       5,,       0,,     340,,     165,,     175,
"Mother tongue","        Hmong-Mien languages",,       5,,       0,,       0,,     525,,     250,,     270,
"Mother tongue","        Indo-European languages",,    7325,,    3435,,    3895,, 2024365,,  980200,, 1044165,
"Mother tongue","          Albanian",,      25,,      10,,      10,,   19045,,    9535,,    9510,
"Mother tongue","          Armenian",,      20,,      10,,      10,,   15070,,    7305,,    7765,
"Mother tongue","          Balto-Slavic languages",,    1080,,     470,,     610,,  410725,,  188695,,  222025,
"Mother tongue","            Baltic languages",,      35,,      15,,      20,,    9080,,    3785,,    5295,
"Mother tongue","              Latvian",,      20,,      10,,      10,,    3910,,    1650,,    2260,
"Mother tongue","              Lithuanian",,      15,,      10,,       5,,    5175,,    2135,,    3035,
"Mother tongue","            Slavic languages",,    1045,,     450,,     590,,  401645,,  184915,,  216730,
"Mother tongue","              Belarusan",,       5,,       0,,       5,,     515,,     230,,     280,
"Mother tongue","              Bosnian",,      10,,       5,,       5,,    6370,,    3125,,    3245,
"Mother tongue","              Bulgarian",,      15,,       5,,       5,,    9095,,    4355,,    4740,
"Mother tongue","              Croatian",,      40,,      15,,      25,,   31875,,   15460,,   16410,
"Mother tongue","              Czech",,     105,,      40,,      60,,   10670,,    4930,,    5740,
"Mother tongue","              Macedonian",,      15,,      10,,      10,,   15635,,    7470,,    8165,
"Mother tongue","              Polish",,     385,,     165,,     225,,  121075,,   54675,,   66405,
"Mother tongue","              Russian",,     240,,     105,,     135,,  101100,,   45630,,   55470,
"Mother tongue","              Serbian",,      60,,      30,,      30,,   41740,,   20585,,   21150,
"Mother tongue","              Serbo-Croatian",,       5,,       5,,       5,,    4875,,    2310,,    2570,
"Mother tongue","              Slovak",,      35,,      20,,      15,,   10280,,    4710,,    5565,
"Mother tongue","              Slovene (Slovenian)",,      15,,       0,,       5,,    6740,,    2995,,    3745,
"Mother tongue","              Ukrainian",,     115,,      50,,      65,,   40375,,   17760,,   22610,
"Mother tongue","              Slavic languages; n.i.e.",,       5,,       0,,       0,,    1310,,     670,,     635,
"Mother tongue","          Celtic languages",,      25,,       5,,      15,,    1110,,     505,,     605,
"Mother tongue","            Scottish Gaelic",,       5,,       0,,       5,,     450,,     210,,     240,
"Mother tongue","            Welsh",,      10,,       5,,      10,,     435,,     180,,     260,
"Mother tongue","            Celtic languages; n.i.e.",,       5,,       0,,       5,,     225,,     120,,     110,
"Mother tongue","          Germanic languages",,    1390,,     560,,     825,,  200640,,   94475,,  106165,
"Mother tongue","            Afrikaans",,      30,,      15,,      15,,    2295,,    1125,,    1170,
"Mother tongue","            Danish",,      70,,      30,,      35,,    4265,,    2010,,    2250,
"Mother tongue","            Dutch",,     510,,     215,,     290,,   51720,,   24875,,   26840,
"Mother tongue","            Frisian",,      15,,       5,,      15,,    1240,,     630,,     620,
"Mother tongue","            German",,     710,,     270,,     440,,  131525,,   61520,,   70005,
"Mother tongue","            Icelandic",,       5,,       0,,       0,,     210,,     100,,     110,
"Mother tongue","            Norwegian",,       5,,       0,,       5,,     940,,     405,,     540,
"Mother tongue","            Swedish",,      25,,      10,,      20,,    2395,,    1040,,    1350,
"Mother tongue","            Vlaams (Flemish)",,      10,,       5,,       5,,    2150,,     925,,    1225,
"Mother tongue","            Yiddish",,       5,,       0,,       5,,    3735,,    1765,,    1970,
"Mother tongue","            Germanic languages; n.i.e.",,       0,,       5,,       0,,     170,,      80,,      85,
"Mother tongue","          Greek",,     315,,     155,,     165,,   55415,,   27305,,   28110,
"Mother tongue","          Indo-Iranian languages",,    1620,,     855,,     770,,  707845,,  357350,,  350495,
"Mother tongue","            Indo-Aryan languages",,    1180,,     625,,     555,,  565600,,  285720,,  279875,
"Mother tongue","              Bengali",,     195,,     100,,      90,,   46810,,   23615,,   23195,
"Mother tongue","              Gujarati",,     170,,      85,,      80,,   76675,,   38740,,   37940,
"Mother tongue","              Hindi",,     200,,     115,,      85,,   58735,,   29805,,   28930,
"Mother tongue","              Kashmiri",,       5,,       0,,       0,,     345,,     170,,     175,
"Mother tongue","              Konkani",,      10,,       0,,      10,,    2510,,    1195,,    1315,
"Mother tongue","              Marathi",,      20,,      15,,      10,,    5490,,    2805,,    2685,
"Mother tongue","              Nepali",,      35,,      20,,      20,,    7870,,    3915,,    3960,
"Mother tongue","              Oriya (Odia)",,       5,,       0,,       0,,     715,,     380,,     335,
"Mother tongue","              Punjabi (Panjabi)",,     190,,      95,,      90,,  197060,,  100160,,   96895,
"Mother tongue","              Sindhi",,      20,,      10,,      10,,    6840,,    3225,,    3615,
"Mother tongue","              Sinhala (Sinhalese)",,      30,,      15,,      15,,   10165,,    4925,,    5235,
"Mother tongue","              Urdu",,     310,,     170,,     145,,  152385,,   76795,,   75595,
"Mother tongue","            Iranian languages",,     425,,     225,,     205,,  139675,,   70270,,   69405,
"Mother tongue","              Kurdish",,      10,,       5,,       5,,    6665,,    3615,,    3050,
"Mother tongue","              Pashto",,      15,,      10,,       5,,   10950,,    5630,,    5315,
"Mother tongue","              Persian (Farsi)",,     400,,     210,,     190,,  122070,,   61025,,   61040,
